_id,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,[Units],BasePeriod,FootNote
677e864211c046112c114b28,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2006,89,2006,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b29,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2006,89,2006,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b2a,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2006,89,2006,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b2b,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2007,95,2007,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b2c,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2007,95,2007,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b2d,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2007,95,2007,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b2e,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2009,95,2009,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b2f,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2009,93,2009,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b30,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2009,96,2009,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b31,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2010,89,2010,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b32,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2010,91,2010,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b33,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2010,93,2010,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b34,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2012,98,2012,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b35,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2012,99,2012,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b36,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2012,98,2012,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b37,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2019,80,2019,Source: Questionnaire A () Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b38,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2019,80,2019,Source: Questionnaire A () Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b39,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2019,80,2019,Source: Questionnaire A () Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b3a,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2020,75,2020,Source: Questionnaire A () Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b3b,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2020,77,2020,Source: Questionnaire A () Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b3c,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2020,79,2020,Source: Questionnaire A () Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b3d,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2021,89,2021,Source: Questionnaire A () Data extracted on 21 February 2024.,PERCENT,,
677e864211c046112c114b3e,4,4.2,4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),360,Indonesia,2021,86,2021,Source: Questionnaire A () Data extracted on 21 February 2024.,PERCENT,,
