_id,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,[Units],FootNote,BasePeriod
677e2be021b30cb58c5b05bf,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2000,23.54184,2000,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
677e2be021b30cb58c5b05c4,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2001,23.87744,2001,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
677e2be021b30cb58c5b05c6,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2002,24.21128,2002,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
677e2be021b30cb58c5b05ca,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2003,24.54321,2003,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
677e2be021b30cb58c5b05cb,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2004,24.87348,2004,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
677e2be021b30cb58c5b05cf,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2005,25.20142,2005,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
677e2be021b30cb58c5b05d2,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2006,25.52742,2006,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
677e2be021b30cb58c5b05d5,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2007,25.85121,2007,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
677e2be021b30cb58c5b05d9,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2008,26.17304,2008,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
677e2be021b30cb58c5b05de,6,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",360,Indonesia,2010,26.8071,2010,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",PERCENT,,
