Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.27","2000","","","","","UNAIDS","","","15-24","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.07","2000","","","","","UNAIDS","","","15-49","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.27","2000","","","","","UNAIDS","","","15-49","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.17","2000","","","","","UNAIDS","","","15-49","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.00","2000","","","","","UNAIDS","","","50+","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.00","2000","","","","","UNAIDS","","","50+","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.00","2000","","","","","UNAIDS","","","50+","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.04","2000","","","","","UNAIDS","","","ALLAGE","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.15","2000","","","","","UNAIDS","","","ALLAGE","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.10","2000","","","","","UNAIDS","","","ALLAGE","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.41","2000","","","","","UNAIDS","","","15-24","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.12","2000","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2000","0.01","2000","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.43","2001","","","","","UNAIDS","","","15-49","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.27","2001","","","","","UNAIDS","","","15-49","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.00","2001","","","","","UNAIDS","","","50+","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.01","2001","","","","","UNAIDS","","","50+","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.00","2001","","","","","UNAIDS","","","50+","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.06","2001","","","","","UNAIDS","","","ALLAGE","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.24","2001","","","","","UNAIDS","","","ALLAGE","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.15","2001","","","","","UNAIDS","","","ALLAGE","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.64","2001","","","","","UNAIDS","","","15-24","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.18","2001","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.41","2001","","","","","UNAIDS","","","15-24","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.10","2001","","","","","UNAIDS","","","15-49","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2001","0.01","2001","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.01","2002","","","","","UNAIDS","","","50+","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.00","2002","","","","","UNAIDS","","","50+","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.08","2002","","","","","UNAIDS","","","ALLAGE","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.29","2002","","","","","UNAIDS","","","ALLAGE","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.19","2002","","","","","UNAIDS","","","ALLAGE","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.01","2002","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.78","2002","","","","","UNAIDS","","","15-24","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.52","2002","","","","","UNAIDS","","","15-24","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.25","2002","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.14","2002","","","","","UNAIDS","","","15-49","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.51","2002","","","","","UNAIDS","","","15-49","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.33","2002","","","","","UNAIDS","","","15-49","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2002","0.00","2002","","","","","UNAIDS","","","50+","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.02","2003","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.33","2003","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.78","2003","","","","","UNAIDS","","","15-24","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.20","2003","","","","","UNAIDS","","","ALLAGE","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.56","2003","","","","","UNAIDS","","","15-24","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.18","2003","","","","","UNAIDS","","","15-49","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.51","2003","","","","","UNAIDS","","","15-49","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.35","2003","","","","","UNAIDS","","","15-49","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.00","2003","","","","","UNAIDS","","","50+","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.01","2003","","","","","UNAIDS","","","50+","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.00","2003","","","","","UNAIDS","","","50+","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.10","2003","","","","","UNAIDS","","","ALLAGE","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2003","0.29","2003","","","","","UNAIDS","","","ALLAGE","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.02","2004","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.39","2004","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.79","2004","","","","","UNAIDS","","","15-24","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.59","2004","","","","","UNAIDS","","","15-24","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
