Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Reporting Type],[Units]
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","1999","1.07","1999","","","","","Indonesia- National Socioeconomic Survey 1999","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2001","0.42","2001","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2001","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2002","0.33","2002","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2002","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2004","0.33","2004","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2004","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2005","0.34","2005","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2005","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2006","0.25","2006","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2006","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2007","0.33","2007","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2007","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2009","0.48","2009","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2009","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2010","0.47","2010","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2010","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2011","0.91","2011","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2011","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2012","0.89","2012","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2012","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2013","0.92","2013","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2013","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2014","1.17","2014","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2014","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2015","0.41","2015","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2015","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
"3","3.8","3.8.2","SH_XPD_EARN25","Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)","360","Indonesia","2016","0.9","2016","","","","","Indonesia - Survei Sosial Ekonomi Nasional 2016","","Survey-based estimate, using household total consumption expenditure in the denominator","G","G","PERCENT"
